,N,F0,m,d_ms,d0,v0,prob,collision
283,9.0,-1233.0,1809.0,1495.0,5.0,61.0,0.5,0.0
284,9.0,-747.0,1439.0,529.0,3.0,105.0,0.5,0.0
285,4.0,-474.0,1917.0,747.0,5.0,148.0,0.5,0.0
286,10.0,-1252.0,1030.0,1336.0,5.0,83.0,0.5,0.0
287,7.0,-579.0,1908.0,910.0,5.0,73.0,0.5,0.0
288,5.0,-2122.0,1178.0,564.0,2.0,122.0,0.5,1.0
289,6.0,-4402.0,1449.0,877.0,2.0,130.0,0.5,1.0
290,5.0,-741.0,1320.0,554.0,5.0,113.0,0.5,0.0
291,11.0,-4333.0,1754.0,1423.0,2.0,132.0,0.5,1.0
292,7.0,-846.0,1703.0,818.0,5.0,73.0,0.5,0.0
293,4.0,-1416.0,1342.0,1193.0,4.0,96.0,0.5,0.0
294,5.0,-4802.0,1615.0,556.0,2.0,74.0,0.5,1.0
295,6.0,-1827.0,1786.0,831.0,3.0,61.0,0.5,0.0
296,7.0,-2414.0,1565.0,526.0,5.0,158.0,0.5,0.0
297,10.0,-3465.0,1332.0,901.0,4.0,68.0,0.5,0.0
298,10.0,-4828.0,1170.0,1063.0,3.0,103.0,0.5,1.0
299,5.0,-4439.0,1712.0,599.0,4.0,111.0,0.5,0.0
300,10.0,-4271.0,1405.0,1399.0,5.0,124.0,0.5,1.0
301,11.0,-2275.0,1495.0,1398.0,3.0,105.0,0.5,1.0
302,5.0,-475.0,1063.0,963.0,5.0,93.0,0.5,0.0
303,7.0,-3721.0,1138.0,1284.0,2.0,135.0,0.5,1.0
304,9.0,-3834.0,1410.0,681.0,5.0,110.0,0.5,0.0
305,11.0,-826.0,1689.0,651.0,4.0,126.0,0.5,0.0
306,5.0,-3365.0,1850.0,1281.0,3.0,110.0,0.5,0.0
307,7.0,-3840.0,1960.0,891.0,4.0,86.0,0.5,0.0
309,8.0,-1080.0,1697.0,1325.0,2.0,85.0,0.5,1.0
311,10.0,-113.0,1607.0,628.0,2.0,105.0,0.5,1.0
312,4.0,-720.0,1727.0,809.0,2.0,122.0,0.5,1.0
313,5.0,-2138.0,1813.0,745.0,2.0,144.0,0.5,1.0
314,9.0,-2678.0,1835.0,1097.0,2.0,73.0,0.5,1.0
315,4.0,-3472.0,1182.0,1091.0,5.0,148.0,0.5,0.0
317,9.0,-2034.0,1903.0,878.0,4.0,103.0,0.5,0.0
319,7.0,-4211.0,1399.0,1167.0,2.0,78.0,0.5,1.0
320,8.0,-4970.0,1299.0,929.0,3.0,81.0,0.5,1.0
321,11.0,-370.0,1094.0,1022.0,2.0,101.0,0.5,1.0
323,6.0,-116.0,1780.0,513.0,2.0,113.0,0.5,1.0
326,10.0,-1280.0,1610.0,723.0,3.0,120.0,0.5,0.0
327,6.0,-3113.0,1547.0,985.0,4.0,129.0,0.5,0.0
329,8.0,-2769.0,1671.0,1449.0,2.0,153.0,0.5,1.0
333,11.0,-1257.0,1099.0,1275.0,5.0,147.0,0.5,0.0
334,11.0,-2155.0,1399.0,1300.0,3.0,98.0,0.5,1.0
335,9.0,-1188.0,1729.0,749.0,3.0,77.0,0.5,1.0
337,8.0,-3853.0,1423.0,1030.0,2.0,70.0,0.5,1.0
339,8.0,-2320.0,1633.0,1081.0,5.0,76.0,0.5,0.0
340,7.0,-1404.0,1731.0,1091.0,2.0,129.0,0.5,1.0
341,8.0,-754.0,1093.0,1423.0,2.0,80.0,0.5,1.0
342,3.0,-136.0,1963.0,1215.0,5.0,153.0,0.5,1.0
345,4.0,-637.0,1454.0,804.0,5.0,110.0,0.5,0.0
346,10.0,-3236.0,1439.0,1223.0,5.0,100.0,0.5,0.0
347,10.0,-2849.0,1374.0,596.0,4.0,98.0,0.5,0.0
350,7.0,-2077.0,1097.0,1014.0,3.0,66.0,0.5,0.0
352,9.0,-1484.0,1490.0,972.0,5.0,146.0,0.5,0.0
354,6.0,-992.0,1679.0,899.0,2.0,60.0,0.5,1.0
356,9.0,-3115.0,1591.0,765.0,2.0,106.0,0.5,1.0
357,3.0,-586.0,1209.0,780.0,4.0,64.0,0.5,0.0
358,10.0,-273.0,1280.0,1303.0,4.0,95.0,0.5,0.0
359,4.0,-2847.0,1198.0,1398.0,5.0,143.0,0.5,0.0
360,3.0,-1848.0,1792.0,1451.0,5.0,126.0,0.5,0.0
361,11.0,-2939.0,1998.0,806.0,5.0,140.0,0.5,0.0
363,10.0,-3057.0,1158.0,718.0,3.0,90.0,0.5,0.0
365,11.0,-3751.0,1197.0,1460.0,3.0,107.0,0.5,1.0
366,4.0,-4525.0,1403.0,1487.0,5.0,67.0,0.5,0.0
367,6.0,-2762.0,1693.0,923.0,3.0,114.0,0.5,1.0
370,6.0,-3634.0,1281.0,882.0,5.0,104.0,0.5,0.0
371,11.0,-805.0,1130.0,1201.0,4.0,60.0,0.5,0.0
372,3.0,-2364.0,1169.0,781.0,3.0,138.0,0.5,0.0
374,9.0,-2879.0,1293.0,953.0,4.0,125.0,0.5,0.0
376,10.0,-2210.0,1841.0,552.0,3.0,69.0,0.5,0.0
377,8.0,-4706.0,1698.0,784.0,2.0,144.0,0.5,1.0
380,6.0,-2491.0,1246.0,836.0,2.0,63.0,0.5,1.0
382,11.0,-455.0,1923.0,815.0,5.0,99.0,0.5,0.0
383,5.0,-3366.0,1889.0,770.0,5.0,88.0,0.5,0.0
384,8.0,-112.0,1998.0,573.0,3.0,74.0,0.5,0.0
385,8.0,-4260.0,1294.0,841.0,5.0,81.0,0.5,0.0
386,5.0,-431.0,1707.0,995.0,3.0,64.0,0.5,0.0
387,3.0,-873.0,1925.0,519.0,2.0,83.0,0.5,1.0
388,4.0,-250.0,1829.0,629.0,3.0,80.0,0.5,1.0
389,8.0,-1486.0,1710.0,1120.0,2.0,159.0,0.5,1.0
393,4.0,-2950.0,1371.0,1006.0,4.0,141.0,0.5,0.0
394,7.0,-4359.0,1401.0,1089.0,3.0,92.0,0.5,1.0
396,4.0,-2077.0,1641.0,793.0,5.0,60.0,0.5,0.0
397,4.0,-4794.0,1655.0,1162.0,5.0,133.0,0.5,0.0
398,9.0,-3744.0,1542.0,1341.0,5.0,68.0,0.5,0.0
399,8.0,-252.0,1464.0,773.0,4.0,133.0,0.5,1.0
